Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations 1,geo_latitude,geo_longitude,geo_accuracy,Affiliations 2,Coordinates 2,Affiliations 3,Coordinates 3,Affiliations 4,Coordinates 4,Affiliations 5,Coordinates 5,Affiliation 6,Coordinates 6,Affiliation 7,Coordinates 7,Affiliation 8,Coordinates 8,Affiliation 9,Coordinates 9,Affiliation 10,Coordinates 10,Affiliation 11,Coordinates 11,Affiliation 12,Coordinates 12,Affiliation 13,Coordinates 13,Affiliation 14,Coordinates 14,Affiliation 15,Coordinates 15,Affiliation 16,Coordinates 16,Affiliation 17,Coordinates 17,Lat,Lng
"Rosebery A.S., Warren B., Tucker-Raymond E.",Developing interpretive power in science teaching,2016,Journal of Research in Science Teaching,53,10,,1571,1600,,,10.1002/tea.21267,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995584247&doi=10.1002%2ftea.21267&partnerID=40&md5=a32270d0bbd814280b5d76154b68a1e2,"2067 Massachusetts Avenue, Cambridge, MA, United States",42.3915585,-71.122998,ROOFTOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZERO_RESULTS,ZERO_RESULTS
West A.,"Defining ""accidents"" in the air: Why tort law principles are essential to interpret the Montreal Convention's ""accident"" requirement",2016,Fordham Law Review,85,3,,1465,1496,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014958041&partnerID=40&md5=f1c79f444aeae7e0e30665e9062cc680,"Fordham University, School of Law, United States",40.7715478,-73.9849293,APPROXIMATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7715478,-73.9849293
"Norma C., Garcia-Caro O.",Gender Problems in the Practice of Professional Interpreters Assisting Migrant Women in Australia: A Theoretical Case for Feminist Education,2016,Violence Against Women,22,11,,1305,1325,,,10.1177/1077801215623381,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84985021320&doi=10.1177%2f1077801215623381&partnerID=40&md5=e3664485d643be3258fac898d986ff9d,"RMIT University, Melbourne, VIC, Australia",-37.8089435,144.9651172,APPROXIMATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-37.8089435,144.9651172
Vargas-Urpi M.,Problems and strategies in public service interpreting as perceived by a sample of Chinese-Catalan/Spanish interpreters,2016,Perspectives: Studies in Translatology,24,4,,666,678,,,10.1080/0907676X.2015.1069861,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945231882&doi=10.1080%2f0907676X.2015.1069861&partnerID=40&md5=7d82d3fcaff519dbe923cdc1a707413a,"Department of Translation and Language Sciences, Universitat Pompeu Fabra, Barcelona, Spain",41.3794153,2.1790715,APPROXIMATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.3794153,2.1790715
"Diaz J.E.L., Ekasumara N., Menon N.R., Homan E., Rajarajan P., Zamudio A.R., Kim A.J., Gruener J., Poliandro E., Thomas D.C., Meah Y.S., Soriano R.P.",Interpreter training for medical students: pilot implementation and assessment in a student-run clinic,2016,BMC Medical Education,16,1,,1,7,,,10.1186/s12909-016-0760-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84990837119&doi=10.1186%2fs12909-016-0760-8&partnerID=40&md5=7abe686ce9fd5f39c5ebcd35f1f04104,"Department of Medical Education, Icahn School of Medicine at Mount Sinai, New York, NY, United States",40.7895827,-73.9528508,APPROXIMATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7895827,-73.9528508
"Guntzviller L.M., Jensen J.D., Carreno L.M.",Latino childrenÕs ability to interpret in health settings: A parentÐchild dyadic perspective on child health literacy,2016,Communication Monographs,,,,1,21,,,10.1080/03637751.2016.1214871,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986238316&doi=10.1080%2f03637751.2016.1214871&partnerID=40&md5=8e44ca32c319ee6484f1379096c537b5,"Department of Communication, University of Illinois, Urbana, IL, USA",40.1066066,-88.2282324,APPROXIMATE,"Department of Communication, University of Utah, Salt Lake City, UT, USA",,"Refugee Services Office, AmeriCorps VISTA, Logan, UT, USA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.1066066,-88.2282324
Law R.,"The English Interpreters in Dahomey, 1843Ð1852",2016,Journal of Imperial and Commonwealth History,44,5,,730,751,,,10.1080/03086534.2016.1229258,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992052437&doi=10.1080%2f03086534.2016.1229258&partnerID=40&md5=c10deaae7cac2e8b06034f4619297019,"History & Politics Division, University of Stirling, Stirling, United Kingdom",39.9502435,-75.1481177,APPROXIMATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.1459298,-3.9186523
KotzŽ H.,The role perceptions of educational interpreters in South Africa [Die rolpersepsies van opvoedkundige tolke in Suid-Afrika],2016,Tydskrif vir Geesteswetenskappe,56,3,,780,794,,,10.17159/2224-7912/2016/v56n3a4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992358890&doi=10.17159%2f2224-7912%2f2016%2fv56n3a4&partnerID=40&md5=b8110818a0ace02cf9cc4e575eb71bcf,"Noordwes-Universiteit, Potchefstroom, South Africa",-26.6904833,27.0931628,APPROXIMATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26.6891428,27.0927871
Dubus N.,Interpreters' subjective experiences of interpreting for refugees in person and via telephone in health and behavioural health settings in the United States,2016,Health and Social Care in the Community,24,5,,649,656,,,10.1111/hsc.12270,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981203264&doi=10.1111%2fhsc.12270&partnerID=40&md5=7c97498cc9c9f71055a4668986590fd6,"Social Work, San Jose State University, San Jose, CA, United States",37.3347296,-121.8813049,APPROXIMATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.3347296,-121.8813049
Lee S.-B.,University studentsÕ experience of Ôscale-referencedÕ peer assessment for a consecutive interpreting examination,2016,Assessment and Evaluation in Higher Education,,,,1,15,,,10.1080/02602938.2016.1223269,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982286603&doi=10.1080%2f02602938.2016.1223269&partnerID=40&md5=04e48ae4ab488c85c6abcdce1e1d7fb0,"Department of English for International Conferences and Communication, Hankuk University of Foreign Studies, Seoul, Korea",37.597319,127.057843,APPROXIMATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.597319,127.057843
"Tsoh J.Y., Sentell T., Gildengorin G., Le G.M., Chan E., Fung L.-C., Pasick R.J., Stewart S., Wong C., Woo K., Burke A., Wang J., McPhee S.J., Nguyen T.T.",Healthcare Communication Barriers and Self-Rated Health in Older Chinese American Immigrants,2016,Journal of Community Health,41,4,,741,752,,,10.1007/s10900-015-0148-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953449490&doi=10.1007%2fs10900-015-0148-4&partnerID=40&md5=e52a80a960556aa338833f6ff8c8fc15,"University of California, San Francisco, 401 Parnassus Ave, San Francisco, CA, United States",37.7631333,-122.4575489,APPROXIMATE,"Asian American Research Center for Health (ARCH), San Francisco, CA, United States",,"Office of Public Health Studies, University of Hawaii at Manoa, Honolulu, HI, United States",,"Department of Medicine, Division of General Internal Medicine, University of California, San Francisco, CA, United States",,"NICOS Chinese Health Coalition, San Francisco, CA, United States",,"Health Education Department, Chinatown Public Health Center, San Francisco, CA, United States",,"University of California, San Francisco, Helen Diller Family Comprehensive Cancer Center, San Francisco, CA, United States",,"Division of Biostatistics, University of California, Davis, CA, United States",,"Health Education/Holistic Health Studies, San Francisco State University, San Francisco, CA, United States",,"University of California, San Francisco, Helen Diller Family Comprehensive Cancer Center, San Francisco, CA, United States",,"Division of Biostatistics, University of California, Davis, CA, United States",,"Health Education/Holistic Health Studies, San Francisco State University, San Francisco, CA, United States",,"University of California, San Francisco, Helen Diller Family Comprehensive Cancer Center, San Francisco, CA, United States",,"Division of Biostatistics, University of California, Davis, CA, United States",,"Health Education/Holistic Health Studies, San Francisco State University, San Francisco, CA, United States",,"University of California, San Francisco, Helen Diller Family Comprehensive Cancer Center, San Francisco, CA, United States",,"Division of Biostatistics, University of California, Davis, CA, United States",,ZERO_RESULTS,ZERO_RESULTS
"Sword-Daniels V., Eriksen C., Hudson-Doyle E.E., Alaniz R., Adler C., Schenk T., Vallance S.",Embodied uncertainty: living with complexity and natural hazards,2016,Journal of Risk Research,,,,1,18,,2,10.1080/13669877.2016.1200659,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978087258&doi=10.1080%2f13669877.2016.1200659&partnerID=40&md5=d12f57fd94e5998b37556ca740f2ecb2,"University College London, London, UK",51.5245592,-0.1340401,APPROXIMATE,"Australian Centre for Cultural Environmental Research, School of Geography and Sustainable Communities, Faculty of Social Sciences, University of Wollongong, Wollongong, Australia",,"Joint Centre for Disaster Research, School of Psychology, Massey University, Wellington, New Zealand",,"Department of Social Sciences, California Polytechnic State University, San Luis Obispo, CA, USA",,"Institute for Environmental Decisions, ETH ZŸrich, Switzerland",,"DUSYS Transdisciplinarity Lab, ETH ZŸrich, Switzerland",,"Urban Affairs and Planning, Virginia Tech, Blacksburg, VA, USA",,"Department of Environmental Management, Lincoln University, Christchurch, New Zealand",,,,"Urban Affairs and Planning, Virginia Tech, Blacksburg, VA, USA",,"Department of Environmental Management, Lincoln University, Christchurch, New Zealand",,,,"Urban Affairs and Planning, Virginia Tech, Blacksburg, VA, USA",,"Department of Environmental Management, Lincoln University, Christchurch, New Zealand",,,,"Urban Affairs and Planning, Virginia Tech, Blacksburg, VA, USA",,"Department of Environmental Management, Lincoln University, Christchurch, New Zealand",,ZERO_RESULTS,ZERO_RESULTS
Han C.,Investigating Score Dependability in English/Chinese Interpreter Certification Performance Testing: A Generalizability Theory Approach,2016,Language Assessment Quarterly,13,3,,186,201,,,10.1080/15434303.2016.1211132,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984620345&doi=10.1080%2f15434303.2016.1211132&partnerID=40&md5=ceb936aa630c22c2e2b56dbf03c850e1,"Southwest University, Chongqing, China",29.8182942,106.4199687,APPROXIMATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.8182942,106.4199687
"Zazove P., Case B., Moreland C., Plegue M.A., Hoekstra A., Ouellette A., Sen A., Fetters M.D.",U.S. medical schools' Compliance with the Americans with disabilities act: Findings from a national study,2016,Academic Medicine,91,7,,979,986,,4,10.1097/ACM.0000000000001087,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954564320&doi=10.1097%2fACM.0000000000001087&partnerID=40&md5=5703dcd54677c48537227f1a723e92e1,"Department of Family Medicine, University of Michigan Medical School, 1018 Fuller St., Ann Arbor, MI, United States",42.2854418,-83.7367229,APPROXIMATE,"Cheng Ear Lab, Stanford University, School of Medicine, Stanford, CA, United States",,"Department of Internal Medicine, University of Texas, School of Medicine at San Antonio, San Antonio, TX, United States",,"ProMedica Health System, Toledo, OH, United States",,"Albany Law School, Albany, NY, United States",,,,,,,,,,,,,,,,,,,,,,,,,,42.2854418,-83.7367229
Chmiel A.,Directionality and context effects in word translation tasks performed by conference interpreters,2016,Poznan Studies in Contemporary Linguistics,52,2,,269,295,,,10.1515/psicl-2016-0010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976643886&doi=10.1515%2fpsicl-2016-0010&partnerID=40&md5=471a760b4683fb0c852e62691931dbab,"Faculty of English, Adam Mickiewicz University, Collegium Novum, al. Niepodlegoci 4, Poznan, Poland",52.4034188,16.921016,APPROXIMATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4034188,16.921016
Korpal P.,Interpreting as a stressful activity: Physiological measures of stress in simultaneous interpreting,2016,Poznan Studies in Contemporary Linguistics,52,2,,297,316,,,10.1515/psicl-2016-0011,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976634248&doi=10.1515%2fpsicl-2016-0011&partnerID=40&md5=c59f4b483f3c7117119dea170483dc43,"Faculty of English, Adam Mickiewicz University, Collegium Novum, al. Niepodlegoci 4, Poznan, Poland",52.4034188,16.921016,APPROXIMATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4034188,16.921016
Driesen C.J.,L'InterprŽtation juridique: Surmonter une apparente complexitŽ,2016,Revue Francaise de Linguistique Appliquee,21,1,,91,110,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974533404&partnerID=40&md5=00c12f5f6b425ec843fae9915aa4389b,"Kanalstr. 16, Hamburg, Allemagne, Germany",53.5729921,10.0178971,ROOFTOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.5729921,10.0178971
"Kremer B., Quijano C.M.","L'Acte de parole de l'interprte: DurŽe, devenir et finitude",2016,Revue Francaise de Linguistique Appliquee,21,1,,39,51,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974652873&partnerID=40&md5=f6ef64f057a9d016a787405ce6e99a25,"UniversitŽ de Genve, FacultŽ de Traduction et dInterprŽtation, 40, boulevard du Pont dArve, Genve 4, Switzerland",46.1949609,6.1396224,APPROXIMATE,"UniversitŽ d'Antioquia, Calle 67 Numero 58, Medell’n, Colombia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vidal T.M.,Civil Religion Reconsidered: The Saliency of a Venerable Concept,2016,Perspectives on Political Science,,,,1,10,,,10.1080/10457097.2015.1130552,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969761294&doi=10.1080%2f10457097.2015.1130552&partnerID=40&md5=13535e48c6fc599d9245c0ab31dc18d8,"Department of Political Science and MPA Program, Columbus State University, Columbus, Georgia, USA",32.5023087,-84.941446,APPROXIMATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gallai F.,Point of view in free indirect thought and in community interpreting,2016,Lingua,175-176,,,97,121,,,10.1016/j.lingua.2015.08.012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963700615&doi=10.1016%2fj.lingua.2015.08.012&partnerID=40&md5=765622a7c72a9ac33c5ec6a6f4e5d168,"University of Bologna, Dipartimento di Lingue, Letterature e Culture Moderne, LILEC, Via Cartoleria 5, Bologna, Italy",44.4897188,11.3490553,APPROXIMATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noegel S.,Dreams and dream interpreters in mesopotamia and in the Hebrew Bible [old testament],2016,"Dreams: A Reader on Religious, Cultural and Psychological Dimensions of Dreaming",,,,45,71,,,10.1007/978-1-137-08545-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014295099&doi=10.1007%2f978-1-137-08545-0&partnerID=40&md5=a6af6640e7c3d457040d789433929738,"University of Washington-Seattle, United States",47.6553351,-122.3035199,APPROXIMATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homer S.,Jacques Lacan: Freud's French interpreter,2016,The Routledge Handbook of Psychoanalysis in the Social Sciences and Humanities,,,,97,114,,,10.4324/9781315650821,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978264620&doi=10.4324%2f9781315650821&partnerID=40&md5=1e1ce2df567bf02039cf9207edc6f2ce,"American University, Bulgaria",42.0130463,23.0953877,APPROXIMATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0130463,23.0953877
"Lee J., Choi M., Huh J., Chang A.",Community interpreting services by marriage migrants for marriage migrants in South Korea,2016,Perspectives: Studies in Translatology,24,2,,179,200,,,10.1080/0907676X.2015.1052524,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963542325&doi=10.1080%2f0907676X.2015.1052524&partnerID=40&md5=3a129435adb828c7539cbb304d2b1432,"Graduate School of Translation and Interpretation, Ewha Womans University, Seoul, South Korea",37.5618577,126.9468294,APPROXIMATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tang F., Li D.",Explicitation patterns in English-Chinese consecutive interpreting: Differences between professional and trainee interpreters,2016,Perspectives: Studies in Translatology,24,2,,235,255,,,10.1080/0907676X.2015.1040033,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941357737&doi=10.1080%2f0907676X.2015.1040033&partnerID=40&md5=e711dc7defb3c3b8b71302459fcf9e66,"School of Interpreting and Translation Studies, Guangdong University of Foreign Studies, Guangzhou, China",23.2002509,113.2898677,APPROXIMATE,"Department of Chinese and Bilingual Studies, The Hong Kong Polytechnic UniversityKowloon, Hong Kong",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
