words,count
languag,2610
commun,1547
patient,1524
provid,1180
court,1088
differ,1079
work,1022
sign,987
research,973
health,953
data,919
translat,911
medic,897
deaf,848
method,830
profession,795
servic,782
care,770
train,765
effect,762
group,759
student,754
right,749
practic,699
inform,699
english,692
model,689
analysi,687
need,681
test,648
articl,632
examin,631
time,627
cultur,623
role,615
state,613
perform,610
educ,595
approach,594
simultan,587
program,584
particip,584
experi,567
new,527
report,523
design,520
clinic,517
measur,493
level,480
requir,480
control,466
qualiti,453
law,451
find,450
limit,445
interview,443
univers,440
evalu,437
support,433
issu,432
general,430
understand,429
assess,428
focus,419
respons,417
peopl,411
p,407
associ,406
number,402
function,402
interact,400
person,398
public,397
context,397
access,393
problem,391
reserv,389
make,385
implement,382
activ,374
legal,369
structur,368
year,366
s,364
type,356
applic,355
non,353
intern,348
learn,345
order,341
task,341
factor,340
social,336
speech,332
linguist,324
question,324
potenti,323
rate,321
hear,320
speak,317
strategi,316
skill,312
chang,311
text,308
conduct,307
indic,306
complex,306
term,306
knowledg,306
physician,305
imag,305
decis,304
follow,304
challeng,303
observ,301
constitut,298
treatment,296
appli,295
direct,294
famili,289
posit,282
standard,281
survey,281
field,280
possibl,278
human,276
subject,275
tool,273
nation,272
code,272
concept,264
self,264
sourc,263
children,262
featur,259
american,259
analys,257
natur,257
popul,256
condit,255
user,254
main,252
influenc,251
encount,244
manag,243
outcom,241
hospit,239
rule,239
regard,238
bilingu,237
barrier,236
situat,236
system,235
score,233
compet,232
point,232
c,231
view,230
combin,230
act,229
evid,227
cognit,227
valu,226
school,225
unit,224
institut,222
confer,221
framework,221
complet,219
mediat,219
record,219
higher,218
theori,217
sampl,217
special,217
risk,216
second,216
help,214
age,214
generat,212
express,211
oper,210
various,210
member,209
product,208
discours,208
teach,208
reflect,206
organ,206
healthcar,205
spanish,205
exampl,204
semant,203
cost,202
consist,202
defin,202
face,200
disabl,200
reason,199
collect,199
environ,198
lack,197
speaker,196
emerg,196
assist,195
copyright,195
histori,194
aspect,192
final,192
n,190
error,190
cell,190
compani,188
consult,188
technolog,188
project,187
argu,187
word,186
pattern,185
critic,185
feder,184
l,183
content,182
did,182
memori,182
difficulti,182
account,182
societi,182
variabl,182
target,181
hand,181
women,181
integr,181
abil,180
primari,180
execut,179
employ,179
literatur,178
polici,178
creat,178
cours,178
intervent,178
methodolog,178
origin,177
better,176
select,176
success,176
materi,176
lead,176
previous,175
obtain,175
power,175
expect,174
experiment,174
depend,173
respond,172
video,171
polit,171
resourc,170
futur,170
instruct,169
ethic,169
protect,168
diseas,168
theoret,168
qualit,165
relev,165
softwar,164
european,163
d,163
visual,163
mental,163
principl,162
valid,162
tradit,162
countri,159
characterist,159
attent,159
local,159
clinician,157
expert,157
lep,157
life,155
paramet,155
compil,155
end,153
region,153
key,153
doctor,152
good,152
machin,152
govern,151
take,151
scienc,149
read,148
small,148
procedur,148
perceiv,148
compon,148
trial,147
prefer,147
comprehens,146
appropri,146
consecut,145
multipl,144
cross,144
enhanc,143
chapter,143
nativ,143
status,142
nurs,142
consequ,141
taylor,141
optim,141
total,140
adult,139
telephon,138
domain,138
event,138
action,138
awar,137
divers,137
especi,136
staff,136
goal,136
estim,136
suprem,135
behavior,135
period,134
claim,134
real,134
comput,134
benefit,134
mechan,134
physic,133
immigr,133
profess,132
predict,132
statist,132
academ,131
section,131
definit,131
scale,131
percept,130
spoken,130
caus,130
facilit,130
adapt,129
consider,129
algorithm,129
accuraci,128
detect,128
medicin,127
note,127
seismic,127
cancer,126
shown,126
light,126
regul,125
call,125
plan,125
document,124
network,124
normal,123
simul,123
effort,123
recogn,122
visit,121
