 ?enkova I.," Institute of Translation Studies, Charles University in Prague, Czech Republic"
 3rd," Department of Pharmacy, University of Arkansas for Medical Sciences Medical Center, Little Rock"
 Abbott G.," Yale University School of Nursing, New Haven, CT, United States"
 Abdel-Baki S.G.," Departments of Physiology and Pharmacology, SUNY Downstate Medical Center, Brooklyn, NY, United States"
 Abdelrahim H.," Japanese Family Health Program, Department of Family Medicine, University of Michigan Health System, Ann Arbor, MI, United States"
 Abdo S.," Dept. Medical Oncology, Westmead and Blacktown Hospitals, NSW, Australia"
 Abdulai R.M.," Brigham & Women's Hospital, Boston, MA, United States"
 Abel G.," School of Health Sciences, University of Canterbury, Christchurch, New Zealand"
 Abonyi S.," Department of Medicine, McGill University, Montreal, QC, Canada"
 Abraham R.T.," Department of Pharmacology, Mayo Clinic and Foundation, Rochester, 55905, Minnesota, United States"
 Abrams A.W.," University of Vermont Medical Center, Burlington, VT, United States"
 Abrams H.B.," Centre Suisse de Recherches Scientifiques en C™te d'Ivoire, Abidjan, Cote d'Ivoire"
 Abramson D.," Yale University School of Medicine, New Haven, CT, United States"
 Abreu M.," Children's Medical Center, Dallas, TX, United States"
 Adams J.," David Geffen School of Medicine at UCLA, UCLA School of Public Health, Jonsson Comprehensive Cancer Center, Los Angeles, CA, United States"
 Adderson E.E.," School of Molecular and Microbial Science, Univeristy of Queensland, Brisbane, QLD, Australia"
 Adelson P.D.," Department of Neurosurgery, Univ. of Pittsburgh Sch. of Medicine, Children's Hospital of Pittsburgh, Pittsburgh, PA, United States"
 Adi-Kusumo F.," Department of Mathematics, Semarang State University, Indonesia"
 Adler C.," Institute for Environmental Decisions, ETH ZŸrich, Switzerland"
 Adomat H.H.," Djavad Mowafaghian Centre for Brain Health, University of British Columbia, Vancouver, BC, Canada"
 Adorni R.," Institute of Bioimaging and Molecular Physiology, CNR, Milano Segrate,, Italy"
 Adzhubey I.," Children's Hospital Reutlingen, Reutlingen, Germany"
 Agarwal P.," Tata Consultancy Services R and D, 154B, Block A, Sector 63, Noida, UP 201301, India"
 Aggrey S.M.," Centre for Disability Studies, Department of Community Health, Kwame Nkrumah University of Science and Technology, Ghana"
 Ahearn S.," Clinical Skills Training Center, University of California, Irvine, School of Medicine, Irvine, CA, United States"
 Ahearn S.," Department of Family Medicine, Building 200, 101 The City Drive South, Rt 81, Orange, CA 92868, United States"
 Ahlberg B.M.," Skaraborg Institute of Research and Development, Sk_vde, Sweden"
 Ahlm C.," Department of Women's and Child Health, Uppsala University, Uppsala, Sweden"
 Ainslie M.," Department of Community Health and Epidemiology, University of Saskatchewan, Saskatoon, SK, Canada"
 Aitken V.," Department of Laboratory Medicine, Yale University School of Medicine, 333 Cedar Street, New Haven, CT 06520-8035, United States"
 Akama K.," Information Initiative Center, Hokkaido University, Kita 11, Nishi 5, Kita-ku Sappro 060-0811, Japan"
 Akinci I.," All Graduates Interpreter Services, 343 Little Collins Street, Melbourne, VIC, Australia"
 Akinsulure-Smith A.M.," Department of Psychology, City College of New York, New York, NY, United States"
 Akkary H.," Intel Corporation, Jones Farm, Hillsboro, OR 97124-5961, United States"
 Akmeliawati R.," RMIT International University Saigon South Campus, 702 Nguyen Van Linh Blvd., District 7, HCMC, Viet Nam"
 Akuete-Penn C.," Office of Disease Prevention and Health Promotion, Baltimore, MD, United States"
 Ala–—n Olmedo F.," Audiencia Provincial de Ourense, Spain"
 Alagappan K.," Section of Emergency Medicine, Baylor College of Medicine, Houston, TX, United States"
 Alagappan K.," Department of Emergency Medicine, Albert Einstein Medical School, Long Island Jewish Medical Center, New Hyde Park, NY, United States"
 Alaniz R.," Department of Social Sciences, California Polytechnic State University, San Luis Obispo, CA, USA"
 Albertini R.J.," Department of Environmental and Occupational Health, Rollins School of Public Health, Emory University, 1518 Clifton Road, NE, Atlanta, GA 30322, United States"
 Albin B.," School of Health and Caring Sciences, Linnaeus University, V_xj_, Sweden"
 Albir A.H.," Universitat Aut˜noma de Barcelona (Autonomous University of Barcelona), Departament de Traducci— i D'Interpretaci—, Edifici K, Campus UAB, Bellaterra, Spain"
 Aldridge L.," Dept. Medical Oncology, Bankstown Hospital, NSW, Australia"
 Alexakis C.," Division of Psychiatry, School of Community Health Sciences, University of Nottingham, Nottingham, United Kingdom"
 Alexander C.," Housing and Urban Studies Unit, Salford University, United Kingdom"
 Alexander K.," Dept. of Educational Administration, College of Education, University of Illinois, Urbana-Champaign, United States"
 Alfaro-Franco C.," Department of Cardiology, St. Luke's Episcopal Hospital, Houston, TX, United States"
 Aliabadi A.Z.," Department of Organ Transplantation/Nephrology, Fachklinik Bad Heilbrunn, W_rnerweg 30, Bad Heilbrunn, Germany"
 Allen N.E.," University of Illinois at Urbana Champaign, Champaign, IL, United States"
 Alosh M.," Adjunct Faculty, Jiann-Ping Hsu College of Public Health, Georgia Southern University, Statesboro, GA, United States"
 Alosh M.," Division of Biometrics III, Office of Biostatistics, OTS, CDER/FDA, Silver Spring, MD, United States"
 An G.," Space Science Institute, Macau University of Science and Technology, Macau"
 Anderson P.L.," Fenway Health, Boston, MA, United States"
 Andorf J.L.," Consejo Superior de Investigaciones Cient’ficasl (CSIC), Santander, Cantabria, Spain"
 Andrade A.," University of North Carolina-Chapel Hill, Chapel Hill, NC, United States"
 Andres E.," Health Care Consultant, United States"
 Angelelli C.," Heriot-Watt University, United Kingdom"
 Angelelli C.," Heriot-Watt University, United Kingdom"
 Angelelli C.," Heriot-Watt University, United Kingdom"
 Angelopoulou E.," International Max Planck Research School for Optics and Imaging, Germany"
 Ann Black-Ziegelbein E.," CIBER Epidemiolog’a y Salud Pœblica (CIBERESP), Santander, Cantabria, Spain"
 Ansari R.," Bellcore, 445 South Street, Morristown, NJ, United States"
 Antelius E.," Department of Culture and Communication, Link_ping University, Link_ping, Sweden"
 Anton D.K.," College of Law Australian National University, Canberra, Australia"
 Arbuckle T.E.," Chemical and Veterinary Analytical Institute, MŸnsterland-Emscher-Lippe (CVUA-MEL), Joseph-K_nig-Stra§e 40, D-48147, MŸnster D-48151, Germany"
 Arce S.," Christ Tabernacle Church, Glendale, NY (Rev Durso), United States"
 Archambault ƒ.," Science-Metrix, Montr_al, Canada"
 Arendrup H.," Department of Thoracic Surgery, Rigshospitalet, Copenhagen, Denmark"
 Ariola Z.M.," Department of Computer and Information Science, University of Oregon, Eugene, OR 97403, United States"
 Armeni A.K.," Division of Reproductive Endocrinology, Department of Obstetrics and Gynecology, University of Patras Medical School, Rio-26500, Patras, Greece"
 Arndt M.E.," Chester F. Carlson Center for Imaging Science, Rochester Institute of Technology, 54 Lomb Memorial Drive, Rochester, NY 14623, United States"
 Arnedo V.," The Scientific Computing Center, SUNY Downstate Medical Center, Brooklyn, NY, United States"
 Aro M.," Viparo Oy Helsinki, Finland"
 Aroca-Fern‡ndez E.," Confederaci—n Estatal de Personas Sordas, Madrid, Spain"
 Arshad H.," Gonville and Caius College, University of Cambridge, Cambridge, United Kingdom"
 Arum’ M.," Departament de Traducci— i Interpretaci—, Universitat Aut˜noma de Barcelona, Bellaterra, Barcelona, Spain"
 Arvizu-Durazo R.," Department of Preventive Medicine and Epidemiology, Loyola University Stritch School of Medicine, 2160 South First Avenue, Maywood, IL 60153, United States"
 Aryati L.," Gadjah Mada University, Indonesia"
 Ashby J.S.," Dept. of Counseling and Human Development, DePaul University, United States"
 Assogna F.," Centro de Investigaciones Biom_dicas en Red de Salud Mental (CIBERSAM), Barcelona, Spain"
 Assogna F.," Centro de Investigaciones Biom_dicas en Red de Salud Mental (CIBERSAM), Barcelona, Spain"
 Augestad K.M.," Department of Colorectal Surgery, University Hospitals Case Medical Center, Cleveland, OH, United States"
 Augusteijn L.," Eindhoven University of Technology, P.O. Box 513, 5600 MB Eindhoven, Netherlands"
 Auvray V.," Philips Research Medisys, Suresnes, France"
 Auvray V.," Universit_ de Lyon, CNRS UMR5220, Hospices Civils de Lyon, France"
 Ayachi M.E.," Facult_ de M_decine, INSERM, UMR476, Univ Aix-Marseille 1 and 2, Marseille 13385, France"
 Azaiez H.," McGill University and Genome Quebec Innovation Centre, Montreal, QC, Canada"
 B—na J.," E_tv_s Lor‡nd University, Hungary"
 Babb S.M.," Department of Psychiatry, Harvard Medical School, Mailman Research Center, Belmont, MA, United States"
 Bachur R.," Latino Health Insurance Program, Inc, Framingham, MA, United States"
 Bacon M.," Ikon Science Ltd, United Kingdom"
 Badjate S.L.," S. B. Jain Institute of Technology, Management and Research, Nagpur, India"
 Baer B.J.," San Diego State University, United States"
 Baerlocher M.O.," Department of Medical Imaging, University of Toronto, Toronto, ON, Canada"
 Bagchee J.," Freie Universit_t, Berlin, Germany"
 Bair T.," Hospital Universitario Marqu_s de Valdecilla, IFIMAV (Instituto de Formaci—n e Investigaci—n Marqu_s de Valdecilla), Santander, Cantabria, Spain"
 Baird N.," Department of Family Medicine, McGill University, Montreal, Canada"
 Bajo M.T.," Department of Experimental Psychology, University of Granada, Spain"
 Bakker S.J.L.," Department of Nephrology, University Medical Center, P.O. Box 30.001, Groningen 9700 RB, Netherlands"
 Balabis J.," Human Services Policy Center, University of Washington, Seattle, WA, United States"
 Bambra C.," Department of Geography, Wolfson Research Institute, Durham University, United Kingdom"
 Bank L.J.," Institute of Social and Economic Research, University of Fort Hare, South Africa"
 Bar-David S.," Department of Biology, Washington University, St. Louis, MO, United States"
 Baraldi C.," Department of Sociology, University of Modena and Reggio Emilia, Largo Sant'Eufemia, 19, 41100 Modena, Italy"
 Barbier I.," University of California, Santa Cruz, United States"
 Barker R.," Department of Linguistics, Macquarie University"
 Barnes J.M.," College of Business, Texas A and M University-Corpus Christi, 6300 Ocean Drive, Corpus Christi, TX 78412-9966, United States"
 Barnes N.M.," Division of Neuroscience, Medical School, University of Birmingham, Vincent Drive B15 2TT, United Kingdom"
 Barone C.P.," Department of Epidemiology, Boston University, School of Public Health, Boston, MA, United States"
 Barr D.B.," National Exposure Research Laboratory, Human Exposure and Atmospheric Sciences Division, US Environmental Protection Agency, Research Triangle Park, NC 27711, United States"
