"Office of Special Education and Rehabilitative Services, Department of Educaion",Final Priority--Training of Interpreters for Individuals Who Are Deaf or Hard of Hearing and Individuals Who Are Deaf-Blind Program. Final priority,2016,Federal register,81,156,,53271,53280,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987629893&partnerID=40&md5=211a98b3368d50cd5733ed8801f0527c,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Office of Special Education and Rehabilitative Services, Department of Education",Final Priority--Training of Interpreters for Individuals Who Are Deaf or Hard of Hearing and Individuals Who Are Deaf-Blind Program. Final priority,2016,Federal register,81,142,,48335,48346,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981333081&partnerID=40&md5=dda5bdda794e0976ef36a1cba6ef036b,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Vedishenkova M.V., Mironina A.Y.",The methodology of foreign language integrative teaching at the initial stage of interpreter training,2016,International Journal of Environmental and Science Education,11,8,,1975,1988,,,10.12973/ijese.2016.571a,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973596587&doi=10.12973%2fijese.2016.571a&partnerID=40&md5=2502bf1ede306078969ebcaf2c63a040,"Department of Pedagogy and Methodology of Primary Education, Institute of Psychology and Education, Kazan (Volga region) Federal University, Kazan, Russian Federation",0,ZERO_RESULTS,,"Vyatka State University, Kirov, Russian Federation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZERO_RESULTS,ZERO_RESULTS,0,0
Becerra O.G.,Do first impressions matter? the effect of first impressions on the assessment of the quality of simultaneous interpreting,2016,Across Languages and Cultures,17,1,,77,97,,,10.1556/084.2016.17.1.4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971320883&doi=10.1556%2f084.2016.17.1.4&partnerID=40&md5=bc8b18c46eaf257500046e55ac079388,"ECIS Research Group, Departamento de Traducci—n e Interpretaci—n, Universidad de Granada, c/ Buensuceso, 11, Granada, Spain",0,ZERO_RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZERO_RESULTS,ZERO_RESULTS,0,0
"D’az-Galaz S., L—pez Portuguez C.",Omission in simultaneous interpretation: Involuntary failure or communicative strategy [La omisi—n en interpretaci—n simult‡nea: fallo involuntario o estrategia comunicativa?],2016,Onomazein,33,1,,427,455,,,10.7764/onomazein.33.11,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991251461&doi=10.7764%2fonomazein.33.11&partnerID=40&md5=29cfc2f9a1ad0c1fce35869adea6f7e0,"Departamento de Traducci—n e Interpretaci—n, Instituto de Literatura y Ciencias Del Lenguaje, Pontificia Universidad Cat—lica de Valpara’so, Chile",0,ZERO_RESULTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZERO_RESULTS,ZERO_RESULTS,0,0
Weinstein S.,Values Education Through Aggadic Stories: The Didactic Rewriter as Interpreter,2016,Journal of Jewish Education,82,1,,54,80,,,10.1080/15244113.2016.1136990,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961243928&doi=10.1080%2f15244113.2016.1136990&partnerID=40&md5=41deaf651fb1fb37bba55ecb8ca33752,"Efrata Teachers College, Jerusalem, Israel",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Mu–oz A.G.B., de Souza J.E.G.",The incredible and sad tale of sign language interpretation: A latin american perspective,2016,Change and Promise: Bilingual Deaf Education and Deaf Culture in Latin America,,,,89,105,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012829439&partnerID=40&md5=988ee82946ff1b66946776942c4084a6,"Open and Distance National University (UNAD), Bogot‡, Colombia",0,,,"Federal University of Santa Catarina, Florianopolis, SC, Brazil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Baxter R.N.,A discussion of chuchotage and boothless simultaneous as marginal and unorthodox interpreting modes,2016,Translator,22,1,,59,71,,,10.1080/13556509.2015.1072614,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963753363&doi=10.1080%2f13556509.2015.1072614&partnerID=40&md5=142fbb778d76df3ab8ee6dc4dc6788d3,"Faculdade de Filolox’a e Traduci—n, Departamento de Traduci—n e LingŸ’stica, Universidade de Vigo, Despacho C38, Campus Universitario, Vigo, Galiza, Spain",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
van Wolferen M.,"The limits to the CJEU's interpretation of locus standi, a theoretical framework",2016,Journal of Contemporary European Research,12,4,,914,930,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010756894&partnerID=40&md5=2bea0e7b963e1866664f7fc83c7b655e,"Faculty of Law, University of Groningen, P.O. Box 72, Groningen, Netherlands",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Motta M.,A blended learning environment based on the principles of deliberate practice for the acquisition of interpreting skills,2016,Interpreter and Translator Trainer,10,1,,133,149,,,10.1080/1750399X.2016.1154347,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975230918&doi=10.1080%2f1750399X.2016.1154347&partnerID=40&md5=0316ba33d7fe41152cc9819f6f0dedce,"Interpreting Department, Faculty of Translation and Interpreting, University of Geneva, Boulevard du Pont dArve 40, Genve 4, Switzerland",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Campbell M.O.,Interpreters of occupation: Gender and the politics of belonging in an Iraqi refugee network,2016,Interpreters of Occupation: Gender and the Politics of Belonging in an Iraqi Refugee Network,,,,1,240,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010943990&partnerID=40&md5=37bfb7f2761f4d1ebd707657e1170827,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Harcourt G.C., Kriesler P.",Micha? Kalecki and Rosa Luxemburg on MarxÕs schemes of reproduction: Two incisive interpreters of capitalism,2016,"Post-Keynesian Essays from Down Under Volume I: Essays on Keynes, Harrod and Kalecki: Theory and Policy in an Historical Context",,,,254,264,,,10.1057/9781137475381,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978342885&doi=10.1057%2f9781137475381&partnerID=40&md5=28a8f8cc2765567863c10c22da9d2df9,"Worcester State University, Center for the Study of Human Rights, Faculty of Womens Studies and Global Studies, United States",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
