"Office of Special Education and Rehabilitative Services, Department of Educaion",Final Priority--Training of Interpreters for Individuals Who Are Deaf or Hard of Hearing and Individuals Who Are Deaf-Blind Program. Final priority,2016,Federal register,81,156,,53271,53280,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987629893&partnerID=40&md5=211a98b3368d50cd5733ed8801f0527c,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Office of Special Education and Rehabilitative Services, Department of Education",Final Priority--Training of Interpreters for Individuals Who Are Deaf or Hard of Hearing and Individuals Who Are Deaf-Blind Program. Final priority,2016,Federal register,81,142,,48335,48346,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981333081&partnerID=40&md5=dda5bdda794e0976ef36a1cba6ef036b,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Vedishenkova M.V., Mironina A.Y.",The methodology of foreign language integrative teaching at the initial stage of interpreter training,2016,International Journal of Environmental and Science Education,11,8,,1975,1988,,,10.12973/ijese.2016.571a,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973596587&doi=10.12973%2fijese.2016.571a&partnerID=40&md5=2502bf1ede306078969ebcaf2c63a040,"Department of Pedagogy and Methodology of Primary Education, Institute of Psychology and Education, Kazan (Volga region) Federal University, Kazan, Russian Federation",0,0,,"Vyatka State University, Kirov, Russian Federation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZERO_RESULTS,ZERO_RESULTS,0,0
Becerra O.G.,Do first impressions matter? the effect of first impressions on the assessment of the quality of simultaneous interpreting,2016,Across Languages and Cultures,17,1,,77,97,,,10.1556/084.2016.17.1.4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971320883&doi=10.1556%2f084.2016.17.1.4&partnerID=40&md5=bc8b18c46eaf257500046e55ac079388,"ECIS Research Group, Departamento de Traducciâ€”n e Interpretaciâ€”n, Universidad de Granada, c/ Buensuceso, 11, Granada, Spain",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZERO_RESULTS,ZERO_RESULTS,0,0
"Dâ€™az-Galaz S., Lâ€”pez Portuguez C.",Omission in simultaneous interpretation: Involuntary failure or communicative strategy [La omisiâ€”n en interpretaciâ€”n simultâ€¡nea: fallo involuntario o estrategia comunicativa?],2016,Onomazein,33,1,,427,455,,,10.7764/onomazein.33.11,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991251461&doi=10.7764%2fonomazein.33.11&partnerID=40&md5=29cfc2f9a1ad0c1fce35869adea6f7e0,"Departamento de Traducciâ€”n e Interpretaciâ€”n, Instituto de Literatura y Ciencias Del Lenguaje, Pontificia Universidad Catâ€”lica de Valparaâ€™so, Chile",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZERO_RESULTS,ZERO_RESULTS,0,0
Cuhovâ€¡ P.S.,"Loneliness of the characters of translators and interpreters in works of the authors with migration experience on the example of Olga Grjasnowas Literary debut All Russians love Birch Trees [Einsamkeit bei Dolmetscherlnnen/â€ bersetzerlnnen. Figuren bei Autorlnnen mit Migrationserfahrung am Beispiel des Romans Der Russe ist einer, der Birken liebt von Olga Grjasnowa]",2016,Lili - Zeitschrift fur Literaturwissenschaft und Linguistik,46,1,,37,53,,,10.1007/s41244-016-0008-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977083888&doi=10.1007%2fs41244-016-0008-4&partnerID=40&md5=ff60e488fd9171704b4b51b731a47652,"Katholische UniversitÅ t, Rui_omberok, Slovakia",49.0793883,19.2992225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0793883,19.2992225
Weinstein S.,Values Education Through Aggadic Stories: The Didactic Rewriter as Interpreter,2016,Journal of Jewish Education,82,1,,54,80,,,10.1080/15244113.2016.1136990,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961243928&doi=10.1080%2f15244113.2016.1136990&partnerID=40&md5=41deaf651fb1fb37bba55ecb8ca33752,"Efrata Teachers College, Jerusalem, Israel",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Muâ€“oz A.G.B., de Souza J.E.G.",The incredible and sad tale of sign language interpretation: A latin american perspective,2016,Change and Promise: Bilingual Deaf Education and Deaf Culture in Latin America,,,,89,105,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012829439&partnerID=40&md5=988ee82946ff1b66946776942c4084a6,"Open and Distance National University (UNAD), Bogotâ€¡, Colombia",0,0,,"Federal University of Santa Catarina, Florianopolis, SC, Brazil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Han C.,A survey to profile conference interpreting practice in China,2016,Interpreting,18,2,,259,272,,,10.1075/intp.18.2.05han,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992746993&doi=10.1075%2fintp.18.2.05han&partnerID=40&md5=86a6bcf5a1890c40cc486698e06efd8f,"College of International Studies, Southwest University, 2 Tiansheng Road, Beibei Chongqing, China",29.8182942,106.4199687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.8182942,106.4199687
Baxter R.N.,A discussion of chuchotage and boothless simultaneous as marginal and unorthodox interpreting modes,2016,Translator,22,1,,59,71,,,10.1080/13556509.2015.1072614,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963753363&doi=10.1080%2f13556509.2015.1072614&partnerID=40&md5=142fbb778d76df3ab8ee6dc4dc6788d3,"Faculdade de Filoloxâ€™a e Traduciâ€”n, Departamento de Traduciâ€”n e LingÅ¸â€™stica, Universidade de Vigo, Despacho C38, Campus Universitario, Vigo, Galiza, Spain",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
van Wolferen M.,"The limits to the CJEU's interpretation of locus standi, a theoretical framework",2016,Journal of Contemporary European Research,12,4,,914,930,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010756894&partnerID=40&md5=2bea0e7b963e1866664f7fc83c7b655e,"Faculty of Law, University of Groningen, P.O. Box 72, Groningen, Netherlands",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Motta M.,A blended learning environment based on the principles of deliberate practice for the acquisition of interpreting skills,2016,Interpreter and Translator Trainer,10,1,,133,149,,,10.1080/1750399X.2016.1154347,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975230918&doi=10.1080%2f1750399X.2016.1154347&partnerID=40&md5=0316ba33d7fe41152cc9819f6f0dedce,"Interpreting Department, Faculty of Translation and Interpreting, University of Geneva, Boulevard du Pont dArve 40, GenÂève 4, Switzerland",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Campbell M.O.,Interpreters of occupation: Gender and the politics of belonging in an Iraqi refugee network,2016,Interpreters of Occupation: Gender and the Politics of Belonging in an Iraqi Refugee Network,,,,1,240,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010943990&partnerID=40&md5=37bfb7f2761f4d1ebd707657e1170827,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Harcourt G.C., Kriesler P.",Micha? Kalecki and Rosa Luxemburg on MarxÃ•s schemes of reproduction: Two incisive interpreters of capitalism,2016,"Post-Keynesian Essays from Down Under Volume I: Essays on Keynes, Harrod and Kalecki: Theory and Policy in an Historical Context",,,,254,264,,,10.1057/9781137475381,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978342885&doi=10.1057%2f9781137475381&partnerID=40&md5=28a8f8cc2765567863c10c22da9d2df9,"Worcester State University, Center for the Study of Human Rights, Faculty of Womens Studies and Global Studies, United States",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Simon L., Hum L., Nalliah R.",Access to interpreter services at U.S. dental school clinics,2016,Journal of Dental Education,80,1,,51,57,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955476592&partnerID=40&md5=0e1ac89cffcb964e455fd9fb8141d4a3,"Department of Translation Theory and Practice, Institute of Philology and Intercultural Communication, Volgograd State University, Prospect Universitetsky, 100, Volgograd, Russian Federation",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Warnicke C., Plejert C.",The positioning and bimodal mediation of the interpreter in a Video Relay Interpreting (VRI) service setting,2016,Interpreting,18,2,,198,230,,,10.1075/intp.18.2.03war,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992747290&doi=10.1075%2fintp.18.2.03war&partnerID=40&md5=c150faea389aa337e8a68b014d10c177,"College of International Studies, Southwest University, 2 Tiansheng Road, Beibei, Chongqing, China",29.8182942,106.4199687,,"Department of Linguistics, Macquarie University, Balaclava Road, North Ryde, NSW, Australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZERO_RESULTS,ZERO_RESULTS,29.8182942,106.4199687
SkjelsbÂ_k I.,"Interpreting the interpreter: Navigating translation, interpretation, and mediation",2016,Culture and Psychology,22,4,,502,519,,1,10.1177/1354067X16650830,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85002142039&doi=10.1177%2f1354067X16650830&partnerID=40&md5=a3d05d05283e7a2d7587e821ea061f65,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Evans J., Guo T.",Translation Studies,2016,Year's Work in Critical and Cultural Theory,24,1,,1,23,,,10.1093/ywcct/mbw001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994248928&doi=10.1093%2fywcct%2fmbw001&partnerID=40&md5=e3b5fa61910a1b33dd18e32e97835b3a,"Centre for Rehabilitation Research, School of Health and Medical Sciences, â€_rebro University, Box 1613, â€_rebro, Sweden",0,0,,"LinkÅ¡ping University, Sweden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZERO_RESULTS,ZERO_RESULTS,0,0
"Dueweke A.R., Bridges A.J., Gomez D.P.",The Effects of Interpreter Use on Agreement Between Clinician- and Self-Ratings of Functioning in Hispanic Integrated Care Patients,2016,Journal of Immigrant and Minority Health,18,6,,1547,1550,,,10.1007/s10903-015-0288-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944712194&doi=10.1007%2fs10903-015-0288-8&partnerID=40&md5=fb828ff64a4edd3da7aea9af7cc18615,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"Mehus C.J., Becher E.H.","Secondary traumatic stress, burnout, and compassion satisfaction in a sample of spoken-language interpreters",2016,Traumatology,22,4,,249,254,,,10.1037/trm0000023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009433384&doi=10.1037%2ftrm0000023&partnerID=40&md5=8c3c544d7b5a6f077d7fc4d9aab4c519,"Centre for Translation and Interpreting Studies in Scotland, Department of Languages and Intercultural Studies, School of Management and Languages, Heriot-Watt University, Edinburgh, United Kingdom",0,0,,"York St John University, United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZERO_RESULTS,ZERO_RESULTS,0,0
"Kullinger M., Haglund B., Kieler H., Skalkidou A.",Effects of ultrasound pregnancy dating on neonatal morbidity in late preterm and early term male infants: A register-based cohort study,2016,BMC Pregnancy and Childbirth,16,1,335,,,,,10.1186/s12884-016-1129-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994477279&doi=10.1186%2fs12884-016-1129-z&partnerID=40&md5=a69c4cab66a631a8020ea1658ff89659,"Stellenbosch University, Stellenbosch, South Africa",-33.9328078,18.864447,,"School of Health Sciences and Social Work, University of Portsmouth, Portsmouth, United Kingdom",,"David Hide Asthma and Allergy Research Centre, St Mary's Hospital, Isle of Wight, United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33.9328078,18.864447
